over_number,wickets_fallen,batsman_avg,bowler_econ,strike_rate,match_phase,runs_in_over
1,0,42.4,7.35,177.8,0,11
8,4,24.3,9.16,106.8,2,13
7,2,25.7,11.05,133.3,1,13
5,1,20.5,9.21,164.4,1,9
5,0,37.2,9.49,145.0,1,14
9,4,10.0,8.5,118.7,2,12
1,1,24.5,8.38,153.5,0,7
7,1,27.6,7.31,146.3,1,13
3,2,22.7,8.74,140.7,0,11
1,0,34.9,8.31,132.5,0,7
6,1,37.6,9.64,144.3,1,17
10,2,16.7,8.55,133.4,2,15
8,1,44.7,8.92,193.7,2,14
8,2,16.6,8.96,140.2,2,15
8,5,38.3,9.44,137.5,2,23
8,1,29.2,8.87,134.2,2,21
6,1,24.0,8.23,180.5,1,9
2,0,24.7,9.6,112.2,0,9
9,2,27.6,10.78,152.2,2,18
5,1,29.7,9.65,140.2,1,9
6,1,20.6,8.77,116.5,1,6
4,1,26.1,9.35,128.6,1,10
2,2,21.8,7.04,151.3,0,6
10,8,18.3,9.33,127.7,2,9
8,0,21.5,9.02,150.2,2,24
7,2,18.8,8.38,179.6,1,4
5,3,24.6,8.6,148.4,1,13
9,6,27.6,9.01,115.9,2,8
6,1,29.0,10.69,128.1,1,12
5,2,43.8,10.81,139.3,1,18
5,1,27.6,8.39,138.0,1,10
3,0,31.8,8.88,148.0,0,16
1,0,28.1,8.91,151.2,0,11
6,0,34.5,10.47,179.6,1,15
9,4,33.7,9.67,144.9,2,14
1,0,26.7,9.61,145.5,0,10
9,3,29.4,10.14,168.1,2,16
9,3,22.0,8.78,170.3,2,16
3,1,32.9,11.14,149.6,0,15
7,2,13.0,9.5,140.1,1,10
2,2,34.2,8.47,157.5,0,9
8,2,27.8,9.22,140.8,2,16
8,2,24.1,10.98,103.9,2,19
4,0,26.1,8.99,156.3,1,8
1,0,26.7,10.64,162.8,0,16
10,2,38.4,8.75,173.8,2,24
5,2,27.6,8.58,130.4,1,17
9,2,27.6,9.49,149.5,2,12
7,5,23.5,8.45,150.0,1,3
8,4,33.0,10.49,146.7,2,19
8,2,33.4,9.92,147.3,2,9
2,0,20.6,8.45,145.7,0,7
4,0,17.9,9.41,149.2,1,9
5,3,27.5,8.84,159.8,1,13
5,1,34.5,9.92,145.5,1,9
1,0,15.1,11.77,129.9,0,6
