overs_played,wickets_lost,avg_batting_avg,avg_bowling_avg,avg_strike_rate,avg_economy,powerplay_runs,middle_overs_runs,total_innings_runs,team_batting_avg,team_bowling_avg,total_run_avg,overs_batted
8,2,28.3,15.0,144.9,10.11,18,25,81,39.1,12.0,10.12,8
5,3,31.2,24.7,156.4,11.11,18,25,74,31.3,17.9,14.8,5
8,3,21.2,25.3,131.7,9.79,18,25,41,16.7,23.5,5.12,8
9,7,37.5,28.3,155.3,9.23,18,25,77,22.6,31.3,8.56,9
8,5,19.1,15.0,140.2,9.5,18,25,63,12.7,18.4,7.88,8
8,7,23.4,17.8,146.0,8.35,18,25,66,14.4,21.2,8.25,8
6,7,34.0,15.0,152.0,9.5,18,25,64,25.3,12.0,10.67,6
8,8,35.7,25.2,172.1,8.06,18,25,77,24.9,22.7,9.62,8
10,7,34.1,18.5,132.4,9.85,18,25,108,20.4,19.4,10.8,10
7,3,31.6,29.4,140.6,7.7,18,25,56,23.2,28.4,8.0,7
8,5,24.1,25.6,137.7,8.7,18,25,58,10.0,23.3,7.25,8
7,3,36.7,19.0,174.2,10.96,18,25,77,25.1,18.6,11.0,7
7,4,26.6,15.0,132.7,8.42,18,25,46,12.5,12.5,6.57,7
9,7,20.2,22.1,148.0,9.65,18,25,67,14.9,18.2,7.44,9
10,5,24.1,22.5,128.8,9.59,18,25,64,16.6,25.2,6.4,10
10,6,19.7,24.2,140.3,9.52,18,25,87,14.9,15.8,8.7,10
7,3,32.8,19.2,152.1,10.7,18,25,62,32.0,16.4,8.86,7
6,7,29.4,25.9,139.1,7.9,18,25,30,15.1,23.4,5.0,6
8,3,32.6,25.8,150.0,8.87,18,25,77,28.8,26.5,9.62,8
9,1,28.8,22.9,155.5,10.45,18,25,84,60.4,25.7,9.33,9
9,3,39.4,21.1,120.2,8.9,18,25,67,35.2,28.0,7.44,9
7,7,28.8,21.9,145.3,7.98,18,25,42,15.1,21.8,6.0,7
9,4,23.6,22.2,132.0,9.37,18,25,76,19.3,20.9,8.44,9
